client_id,algorithm,model_id,image_number,signal_gain,image_file,iters,erro_final,converg,tempo_inicio,tempo_final,reconstruction_time
1,CGNE,30x30,1,0.7105,reconstructed_client1_CGNE_img1.png,2,5.934865839662962e-05,True,2026-05-29T17:47:49.727,2026-05-29T17:47:49.792,0.06489487499993629
1,CGNR,30x30,1,0.7105,reconstructed_client1_CGNR_img1.png,1,9.399007103638723e-05,True,2026-05-29T17:47:47.466,2026-05-29T17:47:47.485,0.019618583000010403
2,CGNE,30x30,1,0.7281,reconstructed_client2_CGNE_img1.png,2,6.081873652874492e-05,True,2026-05-29T17:48:07.363,2026-05-29T17:48:07.596,0.23317183299968747
2,CGNR,30x30,1,0.7281,reconstructed_client2_CGNR_img1.png,1,9.631831926526502e-05,True,2026-05-29T17:48:04.817,2026-05-29T17:48:05.014,0.19694695800035333
3,CGNE,30x30,2,1.069,reconstructed_client3_CGNE_img2.png,3,8.418814104516059e-05,True,2026-05-29T17:48:09.153,2026-05-29T17:48:09.382,0.2287443339996571
3,CGNR,30x30,2,1.069,reconstructed_client3_CGNR_img2.png,2,9.569264511810616e-05,True,2026-05-29T17:48:10.544,2026-05-29T17:48:10.791,0.24670145800018872
4,CGNE,30x30,3,1.1866,reconstructed_client4_CGNE_img3.png,10,388564512.0,False,2026-05-29T17:47:43.136,2026-05-29T17:47:43.344,0.20809116600003108
4,CGNR,30x30,3,1.1866,reconstructed_client4_CGNR_img3.png,10,7502316.5,False,2026-05-29T17:47:44.719,2026-05-29T17:47:44.897,0.17804512500015335
5,CGNE,60x60,5,0.6737,reconstructed_client5_CGNE_img5.png,5,9.860534919425845e-05,True,2026-05-29T17:48:17.049,2026-05-29T17:48:18.407,1.3578421249999337
5,CGNR,60x60,5,0.6737,reconstructed_client5_CGNR_img5.png,4,8.451701432932168e-05,True,2026-05-29T17:48:17.932,2026-05-29T17:48:18.676,0.7442082500001561
6,CGNE,30x30,3,1.0348,reconstructed_client6_CGNE_img3.png,10,338855232.0,False,2026-05-29T17:48:11.160,2026-05-29T17:48:11.899,0.7391128330000356
6,CGNR,30x30,3,1.0348,reconstructed_client6_CGNR_img3.png,10,6542556.0,False,2026-05-29T17:48:09.326,2026-05-29T17:48:09.961,0.6349342499997874
7,CGNE,60x60,4,1.3315,reconstructed_client7_CGNE_img4.png,8,8.929642353905365e-05,True,2026-05-29T17:48:02.497,2026-05-29T17:48:03.819,1.322609833000115
7,CGNR,60x60,4,1.3315,reconstructed_client7_CGNR_img4.png,5,8.600317960372195e-05,True,2026-05-29T17:47:59.191,2026-05-29T17:48:00.309,1.1177366249999068
8,CGNE,30x30,3,0.5707,reconstructed_client8_CGNE_img3.png,10,186882528.0,False,2026-05-29T17:47:51.966,2026-05-29T17:47:52.231,0.2648448330000974
8,CGNR,30x30,3,0.5707,reconstructed_client8_CGNR_img3.png,10,3608269.25,False,2026-05-29T17:47:49.852,2026-05-29T17:47:50.058,0.20624566700007563
9,CGNE,30x30,2,0.5077,reconstructed_client9_CGNE_img2.png,1,9.06950153876096e-05,True,2026-05-29T17:48:11.288,2026-05-29T17:48:11.701,0.41247341700000106
9,CGNR,30x30,2,0.5077,reconstructed_client9_CGNR_img2.png,1,8.119533595163375e-05,True,2026-05-29T17:48:09.492,2026-05-29T17:48:10.034,0.5420875830000114
10,CGNE,30x30,3,1.0601,reconstructed_client10_CGNE_img3.png,10,347141920.0,False,2026-05-29T17:48:17.042,2026-05-29T17:48:17.942,0.899706750000405
10,CGNR,30x30,3,1.0601,reconstructed_client10_CGNR_img3.png,10,6702516.0,False,2026-05-29T17:48:16.976,2026-05-29T17:48:17.553,0.5769040840000343
11,CGNE,30x30,3,0.8001,reconstructed_client11_CGNE_img3.png,10,262001712.0,False,2026-05-29T17:47:51.642,2026-05-29T17:47:51.855,0.21308833399962168
11,CGNR,30x30,3,0.8001,reconstructed_client11_CGNR_img3.png,10,5058657.5,False,2026-05-29T17:47:49.586,2026-05-29T17:47:49.810,0.22392187499963256
12,CGNE,60x60,4,0.8963,reconstructed_client12_CGNE_img4.png,5,9.511123789707199e-05,True,2026-05-29T17:48:00.618,2026-05-29T17:48:01.681,1.0627212079998571
12,CGNR,60x60,4,0.8963,reconstructed_client12_CGNR_img4.png,3,9.884191968012601e-05,True,2026-05-29T17:48:03.443,2026-05-29T17:48:04.051,0.6081956670000181
13,CGNE,60x60,5,1.3216,reconstructed_client13_CGNE_img5.png,10,0.00011958588584093377,False,2026-05-29T17:47:43.600,2026-05-29T17:47:44.593,0.9936615420001544
13,CGNR,60x60,5,1.3216,reconstructed_client13_CGNR_img5.png,7,8.615580009063706e-05,True,2026-05-29T17:47:46.163,2026-05-29T17:47:46.857,0.6946736669997335
14,CGNE,60x60,5,1.0842,reconstructed_client14_CGNE_img5.png,10,9.81045450316742e-05,True,2026-05-29T17:48:10.937,2026-05-29T17:48:12.990,2.0530352499999935
14,CGNR,60x60,5,1.0842,reconstructed_client14_CGNR_img5.png,6,8.421486563747749e-05,True,2026-05-29T17:48:09.128,2026-05-29T17:48:10.232,1.1045922500002234
15,CGNE,60x60,4,0.8277,reconstructed_client15_CGNE_img4.png,4,9.989165846491233e-05,True,2026-05-29T17:48:11.441,2026-05-29T17:48:12.527,1.086362041999564
15,CGNR,60x60,4,0.8277,reconstructed_client15_CGNR_img4.png,3,9.127685916610062e-05,True,2026-05-29T17:48:13.369,2026-05-29T17:48:14.652,1.2830279160002647
16,CGNE,30x30,3,0.7451,reconstructed_client16_CGNE_img3.png,10,243991552.0,False,2026-05-29T17:47:55.589,2026-05-29T17:47:56.314,0.7250120419998893
16,CGNR,30x30,3,0.7451,reconstructed_client16_CGNR_img3.png,10,4710918.5,False,2026-05-29T17:47:57.366,2026-05-29T17:47:57.786,0.42008954100037954
17,CGNE,60x60,6,1.0814,reconstructed_client17_CGNE_img6.png,10,946134.25,False,2026-05-29T17:47:43.379,2026-05-29T17:47:44.461,1.0819819580001422
17,CGNR,60x60,6,1.0814,reconstructed_client17_CGNR_img6.png,10,27419.40234375,False,2026-05-29T17:47:45.858,2026-05-29T17:47:46.841,0.9829424169997765
18,CGNE,30x30,2,1.3442,reconstructed_client18_CGNE_img2.png,4,8.107653411570936e-05,True,2026-05-29T17:47:56.829,2026-05-29T17:47:57.163,0.33419516699996166
18,CGNR,30x30,2,1.3442,reconstructed_client18_CGNR_img2.png,3,7.948020356707275e-05,True,2026-05-29T17:47:55.295,2026-05-29T17:47:55.389,0.09313558299982105
19,CGNE,60x60,4,1.2246,reconstructed_client19_CGNE_img4.png,8,8.212725515477359e-05,True,2026-05-29T17:47:52.531,2026-05-29T17:47:53.213,0.6821565409995856
19,CGNR,60x60,4,1.2246,reconstructed_client19_CGNR_img4.png,4,9.96940943878144e-05,True,2026-05-29T17:47:53.663,2026-05-29T17:47:54.004,0.3414562500001921
20,CGNE,30x30,1,0.8513,reconstructed_client20_CGNE_img1.png,2,7.110981096047908e-05,True,2026-05-29T17:47:58.550,2026-05-29T17:47:58.720,0.17034162499976446
20,CGNR,30x30,1,0.8513,reconstructed_client20_CGNR_img1.png,2,6.012638914398849e-05,True,2026-05-29T17:47:56.986,2026-05-29T17:47:57.316,0.32975854100004653
21,CGNE,60x60,5,0.799,reconstructed_client21_CGNE_img5.png,7,9.580047480994835e-05,True,2026-05-29T17:48:07.599,2026-05-29T17:48:09.038,1.4385918329999186
21,CGNR,60x60,5,0.799,reconstructed_client21_CGNR_img5.png,5,7.610563625348732e-05,True,2026-05-29T17:48:05.015,2026-05-29T17:48:06.116,1.1008405839997977
22,CGNE,30x30,2,1.1569,reconstructed_client22_CGNE_img2.png,3,9.11105889827013e-05,True,2026-05-29T17:47:55.504,2026-05-29T17:47:55.637,0.13261016599972208
22,CGNR,30x30,2,1.1569,reconstructed_client22_CGNR_img2.png,3,6.840551941422746e-05,True,2026-05-29T17:47:58.465,2026-05-29T17:47:58.701,0.2362198329997227
23,CGNE,30x30,3,1.3963,reconstructed_client23_CGNE_img3.png,10,457233696.0,False,2026-05-29T17:48:15.514,2026-05-29T17:48:16.221,0.7073343339998246
23,CGNR,30x30,3,1.3963,reconstructed_client23_CGNR_img3.png,10,8828151.0,False,2026-05-29T17:48:14.572,2026-05-29T17:48:15.331,0.7592067499999757
24,CGNE,30x30,2,1.4486,reconstructed_client24_CGNE_img2.png,4,8.737346797715873e-05,True,2026-05-29T17:47:58.026,2026-05-29T17:47:58.460,0.4345722080001906
24,CGNR,30x30,2,1.4486,reconstructed_client24_CGNR_img2.png,3,8.565320604247972e-05,True,2026-05-29T17:47:54.827,2026-05-29T17:47:54.890,0.06269316599991726
25,CGNE,30x30,1,0.9512,reconstructed_client25_CGNE_img1.png,2,7.9454475780949e-05,True,2026-05-29T17:47:44.561,2026-05-29T17:47:44.605,0.04361883299998226
25,CGNR,30x30,1,0.9512,reconstructed_client25_CGNR_img1.png,2,6.718223448842764e-05,True,2026-05-29T17:47:47.163,2026-05-29T17:47:47.196,0.03337412499968195
